COUNTER|NAME|RATING|ADDRESS|PHONE|BUDGET|CUISINE
53|Best Of Burma|4.0 star rating|146 E 3rd AveSan Mateo, CA 94401|(650) 235-9339|$$|"Burmese,
                    Asian Fusion"
54|Block 34|4.0 star rating|34 E 4th AveSan Mateo, CA 94401|(650) 434-3403|$$|"American (New),
                    Seafood,
                    Gastropubs"
55|Pancho Villa Taqueria|4.0 star rating|365 S B StSan Mateo, CA 94401|(650) 343-4123|$|"Mexican,
                    Latin American"
56|Fusion Peruvian Grill|4.0 star rating|45 N B StSan Mateo, CA 94401|(650) 292-0788|$$|Peruvian
57|Santa Ramen|3.5 star rating|1944 S El Camino RealSan Mateo, CA 94403|(650) 344-5918|$$|Ramen
58|The Habit Burger Grill|4.0 star rating|1100 Park PlSan Mateo, CA 94403|(650) 286-9944|$|"Burgers,
                    Sandwiches"
59|Sozai Corner|4.0 star rating|71 E 4th AveSan Mateo, CA 94401|(650) 342-6748|$|Japanese
60|Big Lettuce|5.0 star rating|3174 Campus DrSan Mateo, CA 94403||$|"Salad,
                    Sandwiches,
                    Soup"
61|Jack’s Restaurant and Bar|3.5 star rating|1750 S El Camino RealSan Mateo, CA 94402|(650) 350-1077|$$|"American (Traditional),
                    Wine Bars"
61|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
62|Viognier|4.0 star rating|222 E 4th AveSan Mateo, CA 94401|(650) 685-3727|$$$|American (New)
63|Jack’s Restaurant and Bar|3.5 star rating|1750 S El Camino RealSan Mateo, CA 94402|(650) 350-1077|$$|"American (Traditional),
                    Wine Bars"
64|Bangkok Patio|3.5 star rating|615 E 3rd AveSan Mateo, CA 94401|(650) 548-5489|$$|Thai
65|Jack’s Prime|4.0 star rating|3723 S El Camino RealSan Mateo, CA 94403|(650) 638-1479|$$|"Burgers,
                    Salad"
66|Yu-Raku|4.0 star rating|104 S El Camino RealSan Mateo, CA 94401|(650) 558-8239|$$|"Chinese,
                    Ramen"
67|Noodle Shop|4.0 star rating|164 W 25th AveSan Mateo, CA 94403|(650) 345-1277|$|"Chinese,
                    Noodles"
68|Wakuriya|4.5 star rating|115 De Anza BlvdSan Mateo, CA 94402|(650) 286-0410|$$$$|Japanese
69|Furagu Sushi|4.0 star rating|116 W 25th AveSan Mateo, CA 94403|(650) 931-4038|$$|"Japanese,
                    Sushi Bars"
70|Amour Amour Wine Bar - Tapas|4.0 star rating|305 E 4th AveSan Mateo, CA 94401|(650) 513-1759|$$|"Wine Bars,
                    Tapas Bars"
71|Izakaya Ginji|3.5 star rating|301 E 4th AveSan Mateo, CA 94401|(650) 348-1110|$$|Japanese
71|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
72|Fuji Sukiyaki|4.0 star rating|428 E 3rd AveSan Mateo, CA 94401|(650) 348-7810|$$|"Japanese,
                    Sushi Bars"
73|Cuban Kitchen|4.0 star rating|3799 S El Camino Real AveSan Mateo, CA 94403|(650) 627-4636|$$|"Cuban,
                    Latin American"
74|Iberia Restaurant|4.0 star rating|740 El Camino RealBelmont, CA 94002|(650) 325-8981|$$|"Tapas/Small Plates,
                    Iberian,
                    Spanish"
75|Kingston Cafe|4.5 star rating|19 N Kingston StSan Mateo, CA 94401|(650) 477-2276|$|"Coffee & Tea,
                    Cafes,
                    Sandwiches"
76|Pacific Catch|3.5 star rating|243 S B StSan Mateo, CA 94401|(650) 389-2482|$$|"Seafood,
                    Hawaiian"
77|Ike’s Place|4.0 star rating|680 E 3rd AveSan Mateo, CA 94401|(650) 375-8900|$|Sandwiches
78|Amour Amour Wine Bar - Tapas|4.0 star rating|305 E 4th AveSan Mateo, CA 94401|(650) 513-1759|$$|"Wine Bars,
                    Tapas Bars"
79|Tannourine|4.0 star rating|120 W 25th AveSan Mateo, CA 94403|(650) 667-5764|$$|"Mediterranean,
                    Lebanese"
80|The Chennai Club|3.5 star rating|2299 S El Camino RealSan Mateo, CA 94403|(650) 458-3701|$$|"Indian,
                    Gluten-Free"
81|Little Shanghai Restaurant|3.5 star rating|17 E 25th AveSan Mateo, CA 94403|(650) 573-7161|$$|Shanghainese
81|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
82|Chan Wei Bistro|4.0 star rating|152 South BlvdSan Mateo, CA 94402|(650) 578-8686|$|Chinese
83|Albayk|3.5 star rating|670 E 3rd AveSan Mateo, CA 94401|(650) 342-7500|$$|"Mediterranean,
                    Middle Eastern,
                    Halal"
84|Little China Kitchen|3.5 star rating|215 E 3rd AveSan Mateo, CA 94401|(650) 348-3890|$$|"Chinese,
                    Asian Fusion"
85|Fletch’s|4.0 star rating|385 2nd AveSan Mateo, CA 94401|(650) 685-8301|$|"American (Traditional),
                    Hot Dogs,
                    American (New)"
86|America’s House|4.0 star rating|1440 Cary AveSan Mateo, CA 94401|(650) 342-5990|$$|"American (Traditional),
                    Italian,
                    Mexican"
87|Vespucci Ristorante Italiano|4.0 star rating|147 E 3rd AveSan Mateo, CA 94401|(650) 685-6151|$$|"Italian,
                    Salad"
88|Jeffrey’s Hamburgers|4.0 star rating|42 S B StSan Mateo, CA 94401|(650) 348-8698|$|"Burgers,
                    Salad,
                    Seafood"
89|Silver House|4.0 star rating|2224 S El Camino RealSan Mateo, CA 94403|(650) 571-1298|$$|"Chinese,
                    Imported Food"
90|Hot Wok Bistro|4.0 star rating|1012 Howard AveSan Mateo, CA 94401|(650) 548-1758|$$|Chinese
91|Bonchon|3.5 star rating|220 S B StSan Mateo, CA 94401|(650) 458-3110|$$|"Chicken Wings,
                    Korean,
                    Asian Fusion"
91|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
92|Bonchon|3.5 star rating|220 S B StSan Mateo, CA 94401|(650) 458-3110|$$|"Chicken Wings,
                    Korean,
                    Asian Fusion"
93|Oceanic Restaurant|4.0 star rating|2507 S El Camino RealSan Mateo, CA 94403|(650) 570-4234|$$|Chinese
94|Vespucci Ristorante Italiano|4.0 star rating|147 E 3rd AveSan Mateo, CA 94401|(650) 685-6151|$$|"Italian,
                    Salad"
95|Zabu Zabu|3.5 star rating|98 E 3rd AveSan Mateo, CA 94401|(650) 340-9228|$$|"Japanese,
                    Buffets,
                    Tapas/Small Plates"
96|Little China Kitchen|3.5 star rating|215 E 3rd AveSan Mateo, CA 94401|(650) 348-3890|$$|"Chinese,
                    Asian Fusion"
97|Old Town Sushi|3.5 star rating|100 S B StSan Mateo, CA 94401|(650) 558-8969|$$|"Japanese,
                    Sushi Bars,
                    Diners"
98|Hot Wok Bistro|4.0 star rating|1012 Howard AveSan Mateo, CA 94401|(650) 548-1758|$$|Chinese
99|Fletch’s|4.0 star rating|385 2nd AveSan Mateo, CA 94401|(650) 685-8301|$|"American (Traditional),
                    Hot Dogs,
                    American (New)"
100|The Fish Market|3.5 star rating|1855 S Norfolk StSan Mateo, CA 94403|(650) 349-3474|$$|Seafood
101|Spicy Empire|3.5 star rating|105 W 25th AveSan Mateo, CA 94403|(650) 522-9098|$$|Szechuan
101|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
102|Central Park Bistro|4.0 star rating|181 E 4th AveSan Mateo, CA 94401|(650) 558-8401|$$$|"American (New),
                    Seafood"
103|Silver House|4.0 star rating|2224 S El Camino RealSan Mateo, CA 94403|(650) 571-1298|$$|"Chinese,
                    Imported Food"
104|Chef Zhao Bistro|3.5 star rating|2450 S El Camino RealSan Mateo, CA 94403|(650) 345-6288|$$|Szechuan
105|Jeffrey’s Hamburgers|4.0 star rating|42 S B StSan Mateo, CA 94401|(650) 348-8698|$|"Burgers,
                    Salad,
                    Seafood"
106|Ajisen Ramen|3.5 star rating|211 E 3rd AveSan Mateo, CA 94401|(650) 344-8887|$$|Ramen
107|Los Primos Taqueria|4.0 star rating|85 N B StSan Mateo, CA 94401|(650) 347-8760|$|Mexican
108|Saigon City|3.5 star rating|418 E 3rd AveSan Mateo, CA 94401|(650) 340-8878|$|Vietnamese
109|Thaiger Thai Kitchen|4.0 star rating|851 N San Mateo DrSan Mateo, CA 94401|(650) 343-7700|$|Thai
110|Cha Cha Cha Cuba|3.5 star rating|112 S B StSan Mateo, CA 94401|(650) 347-2900|$$|"Cuban,
                    Caribbean,
                    Tapas Bars"
111|Kingfish Restaurant|3.5 star rating|201 S B StSan Mateo, CA 94401|(650) 343-1226|$$$|"American (New),
                    Seafood,
                    Steakhouses"
111|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
112|Cha Cha Cha Cuba|3.5 star rating|112 S B StSan Mateo, CA 94401|(650) 347-2900|$$|"Cuban,
                    Caribbean,
                    Tapas Bars"
113|Taqueria El Nayarita|3.5 star rating|660 E 3rd AveSan Mateo, CA 94401|(650) 347-5414|$|Mexican
114|Tacos Al Vapor|4.0 star rating|602B 4th StSan Mateo, CA 94402|(650) 344-9936|$|Mexican
115|Guadalajara Grill|4.0 star rating|19 Laurie Meadows DrSan Mateo, CA 94403|(650) 573-6933|$|Mexican
116|Charlie’s Taqueria|4.0 star rating|725 S B StSan Mateo, CA 94401|(650) 343-6496|$|Mexican
117|MaMa’s Vietnamese Cuisine|3.5 star rating|2456 S El Camino RealSan Mateo, CA 94403|(650) 572-8822|$|Vietnamese
118|The Swingin’ Door|3.5 star rating|106 E 25th AveSan Mateo, CA 94403|(650) 522-9800|$$|"Karaoke,
                    Pubs,
                    Fish & Chips"
119|Shabuway Japanese Style Hot Pot|3.5 star rating|145 E 3rd AveSan Mateo, CA 94401|(650) 548-2483|$$|"Japanese,
                    Hot Pot"
120|Americano Deli & Grill|4.0 star rating|224 E Hillsdale BlvdSan Mateo, CA 94403|(650) 667-5769|$|"Sandwiches,
                    Delis"
121|Cafe 2k|4.0 star rating|2000 Alameda De Las PulgasSan Mateo, CA 94403|(650) 212-2002|$|"Delis,
                    Coffee & Tea,
                    Bagels"
121|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
122|Cafe 2k|4.0 star rating|2000 Alameda De Las PulgasSan Mateo, CA 94403|(650) 212-2002|$|"Delis,
                    Coffee & Tea,
                    Bagels"
123|Ou Tong|3.5 star rating|121 W 25th AveSan Mateo, CA 94403|(650) 578-9211|$$|Thai
124|Bonne Sante|3.5 star rating|219 S San Mateo DrSan Mateo, CA 94401|(650) 389-7660|$|Sandwiches
125|KitchenTown|4.0 star rating|1007 Howard AveSan Mateo, CA 94401|(650) 458-8080|$$|Cafes
126|Chicken Pho You|3.5 star rating|250 S B StSan Mateo, CA 94401|(650) 340-7138|$|Vietnamese
127|Kaffeehaus|3.5 star rating|92 E 3rd AveSan Mateo, CA 94401|(650) 347-4242|$|"Coffee & Tea,
                    Sandwiches"
128|Suruki Supermarket|4.5 star rating|71 E 4th AveSan Mateo, CA 94401|(650) 347-5288|$$|"Grocery,
                    Japanese,
                    Sushi Bars"
129|Lily’s Creperie|4.0 star rating|108 De Anza BlvdSan Mateo, CA 94402|(650) 312-1579|$|"Juice Bars & Smoothies,
                    Creperies,
                    Gelato"
130|Gangnam Chicken|3.0 star rating|213 E 3rd AveSan Mateo, CA 94401|(650) 343-9292|$$|"Chicken Wings,
                    Korean"
131|Bay View Cafe|4.0 star rating|2121 S El Camino RealSan Mateo, CA 94403|(650) 357-7770|$|"Sandwiches,
                    Cafes,
                    Coffee & Tea"
131|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
132|Kaffeehaus|3.5 star rating|92 E 3rd AveSan Mateo, CA 94401|(650) 347-4242|$|"Coffee & Tea,
                    Sandwiches"
133|The Sandwich Spot|4.0 star rating|65 E 4th AveSan Mateo, CA 94401|(650) 347-3301|$|"Sandwiches,
                    Delis,
                    Cafes"
134|Town of Dumpling|3.5 star rating|29 Laurie Meadows DrSan Mateo, CA 94403|(650) 349-3066|$|Chinese
135|Suruki Supermarket|4.5 star rating|71 E 4th AveSan Mateo, CA 94401|(650) 347-5288|$$|"Grocery,
                    Japanese,
                    Sushi Bars"
136|Champagne Seafood Restaurant|3.0 star rating|88 E 4th AveSan Mateo, CA 94401|(650) 343-6988|$$|"Asian Fusion,
                    Dim Sum,
                    Cantonese"
137|Paul Martin’s American Grill|3.5 star rating|101 Hillsdale Shopping CtrSan Mateo, CA 94403|(650) 212-7400|$$|"American (New),
                    Seafood,
                    Steakhouses"
138|Vedas Indian Restaurant|4.0 star rating|514 Peninsula AveSan Mateo, CA 94401|(650) 343-6300|$$|Indian
139|ABC Bakery & Cafe|3.0 star rating|210 E 3rd AveSan Mateo, CA 94401|(650) 685-8881|$|"Bakeries,
                    Hong Kong Style Cafe"
140|Rainbow Pizza|4.0 star rating|112 De Anza Blvd #112San Mateo, CA 94402|(650) 571-1848|$$|"Greek,
                    Pizza,
                    Burgers"
141|La Lanterna Ristorante|3.5 star rating|180 W 25th AveSan Mateo, CA 94403|(650) 341-8877|$$|Italian
141|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
142|Nini’s Coffee Shop|4.5 star rating|1000 N Idaho StSan Mateo, CA 94401|(650) 348-9578|$$|"Breakfast & Brunch,
                    Cafes"
143|La’s Cafe|4.0 star rating|1900 S Norfolk StSan Mateo, CA 94403|(650) 345-5939|$|"Delis,
                    Coffee & Tea,
                    Vietnamese"
144|Mr. Pickle’s Sandwich Shop|4.0 star rating|1432 S El Camino RealSan Mateo, CA 94402|(650) 571-9170|$|"Delis,
                    Sandwiches"
145|New York Pizza- San Mateo|3.5 star rating|219 South B StSan Mateo, CA 94401|(650) 344-3444|$|"Pizza,
                    Sandwiches,
                    Desserts"
146|Las Palomas Taqueria|4.0 star rating|504 E 3rd AveSan Mateo, CA 94401|(650) 343-9925|$|Mexican
147|Hotaru Japanese Restaurant|3.5 star rating|33 E 3rd AveSan Mateo, CA 94401|(650) 343-1152|$$|"Japanese,
                    Sushi Bars"
148|Luceti’s on 25th|3.5 star rating|109 W 25th AveSan Mateo, CA 94403|(650) 574-1256|$$|Italian
149|Madd Mex Cantina|4.5 star rating||(408) 512-0686|$|"Food Trucks,
                    Mexican,
                    Asian Fusion"
150|Cafe 400|4.0 star rating|400 S El Camino RealSan Mateo, CA 94402|(650) 579-5544|$|Cafes
151|Patio Coffee Shop|4.0 star rating|25 W 25th AveSan Mateo, CA 94403|(650) 570-3037|$|"Breakfast & Brunch,
                    Coffee & Tea,
                    American (Traditional)"
151|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
152|Porterhouse|3.5 star rating|60 E 3rd AveSan Mateo, CA 94401|(650) 579-5911|$$$|Steakhouses
153|The Counter San Mateo|3.5 star rating|41 W Hillsdale BlvdSan Mateo, CA 94403|(650) 212-3200|$$|Burgers
154|Myung Dong Tofu Cabin|3.5 star rating|2968 S Norfolk StSan Mateo, CA 94403|(650) 525-1484|$$|Korean
155|Bobabia|4.0 star rating|271 - 273 Baldwin AveSan Mateo, CA 94401|(650) 389-7077|$|"Bubble Tea,
                    Tea Rooms,
                    Cafes"
156|BJ’s Restaurant & Brewhouse|3.0 star rating|2206 Bridgepointe PkwySan Mateo, CA 94404|(650) 931-2990|$$|"Breweries,
                    American (New),
                    Pizza"
157|Qube Bar and Grill|3.5 star rating|4000 S El Camino RealSan Mateo, CA 94403|(650) 212-2643|$$|"American (New),
                    American (Traditional)"
158|The Cheesecake Factory|3.0 star rating|398 Hillsdale Shopping CtrSan Mateo, CA 94403|(650) 638-0310|$$|"American (Traditional),
                    Desserts"
159|King Of Thai Noodle House|3.0 star rating|200 S B StSan Mateo, CA 94401|(650) 342-7777|$$|Thai
160|Restaurant Bay Watch|3.5 star rating|201 2nd AveSan Mateo, CA 94401|(650) 342-2356|$$|"Breakfast & Brunch,
                    American (Traditional)"
161|Celebrity Cafe|4.0 star rating|100 S San Mateo DrSan Mateo, CA 94401|(650) 344-7633|$|Cafes
161|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
162|El Rinconsito Catracho|3.5 star rating|85 N B StSan Mateo, CA 94401|(650) 347-1393|$|Salvadoran
163|Restaurant Bay Watch|3.5 star rating|201 2nd AveSan Mateo, CA 94401|(650) 342-2356|$$|"Breakfast & Brunch,
                    American (Traditional)"
164|Myung Dong Tofu Cabin|3.5 star rating|2968 S Norfolk StSan Mateo, CA 94403|(650) 525-1484|$$|Korean
165|Tacos Peralta|4.0 star rating|342 E Hillsdale BlvdSan Mateo, CA 94407|(650) 363-2597|$|"Mexican,
                    Food Stands"
166|La Pinata Mexicatesen|4.0 star rating|120 N B StSan Mateo, CA 94401|(650) 344-5722|$|Latin American
167|BJ’s Restaurant & Brewhouse|3.0 star rating|2206 Bridgepointe PkwySan Mateo, CA 94404|(650) 931-2990|$$|"Breweries,
                    American (New),
                    Pizza"
168|Esposto’s Delicatessen|4.0 star rating|59 Bovet RdSan Mateo, CA 94402|(650) 525-1941|$|"Delis,
                    Italian,
                    Sandwiches"
169|Qube Bar and Grill|3.5 star rating|4000 S El Camino RealSan Mateo, CA 94403|(650) 212-2643|$$|"American (New),
                    American (Traditional)"
170|Pho Little Saigon|3.5 star rating|2978 S Norfolk StSan Mateo, CA 94403|(650) 345-1535|$|Vietnamese
171|King Of Thai Noodle House|3.0 star rating|200 S B StSan Mateo, CA 94401|(650) 342-7777|$$|Thai
171|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
172|Menya Inshou|3.5 star rating|2944 S Norfolk StSan Mateo, CA 94403|(650) 212-7768|$|"Ramen,
                    Sushi Bars"
173|Tacos Peralta|4.0 star rating|342 E Hillsdale BlvdSan Mateo, CA 94407|(650) 363-2597|$|"Mexican,
                    Food Stands"
174|La Pinata Mexicatesen|4.0 star rating|120 N B StSan Mateo, CA 94401|(650) 344-5722|$|Latin American
175|Esposto’s Delicatessen|4.0 star rating|59 Bovet RdSan Mateo, CA 94402|(650) 525-1941|$|"Delis,
                    Italian,
                    Sandwiches"
176|Los Primos No 2|3.5 star rating|376 N Ellsworth AveSan Mateo, CA 94401|(650) 548-9713|$|Mexican
177|Taqueria La Cumbre|3.5 star rating|28 N B StSan Mateo, CA 94401|(650) 344-8989|$|Mexican
178|Fortune Star Chinese Restaurant|3.5 star rating|2216 S El Camino RealSan Mateo, CA 94403|(650) 212-1166|$$|Chinese
179|La Fonda de San Mateo|3.5 star rating|2310 S El Camino RealSan Mateo, CA 94403|(650) 574-9699|$$|Mexican
180|Seniore’s Pizza|3.5 star rating|2210 S El Camino RealSan Mateo, CA 94403|(650) 573-5400|$|Pizza
181|Yuzu Sushi & Grill|3.5 star rating|54 37th AveSan Mateo, CA 94403|(650) 358-0298|$$$|"Japanese,
                    Sushi Bars"
181|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
182|Clay Oven|3.0 star rating|78 E 3rd AveSan Mateo, CA 94401|(650) 342-9194|$$|"Indian,
                    Buffets"
183|Boiling Point|3.5 star rating|111 E 4th AveSan Mateo, CA 94401|(650) 653-9998|$$|Taiwanese
184|Kat’s Vietnam House|3.5 star rating|35 Laurie Meadows DrSan Mateo, CA 94403|(650) 574-0107|$|Vietnamese
185|Ben Tre Vietnamese Homestyle Cuisine|3.5 star rating|213 2nd AveSan Mateo, CA 94401|(650) 558-8088|$$|Vietnamese
186|Fortune Star Chinese Restaurant|3.0 star rating|173 W 25th AveSan Mateo, CA 94403|(650) 341-3432|$|Chinese
187|Buri Tara Thai Cuisine|3.5 star rating|939 A Edgewater BlvdSan Mateo, CA 94404|(650) 525-5880|$$|Thai
188|Mr Pizza Man|3.0 star rating|201 E 4th AveSan Mateo, CA 94401|(650) 342-7088|$|"Pizza,
                    Italian"
189|The Cheese Steak Shop|3.5 star rating|206 S B StSan Mateo, CA 94401|(650) 458-8088|$|"Cheesesteaks,
                    Sandwiches"
190|Armadillo Willy’s BBQ|3.5 star rating|2260 Bridgepointe PkwySan Mateo, CA 94404|(650) 571-7427|$$|"Barbeque,
                    Burgers,
                    Sandwiches"
191|Marketplace Cafe|4.0 star rating|130 Hillsdale Shopping CenterSan Mateo, CA 94403|(650) 570-5111|$$|"American (New),
                    Diners,
                    Cafes"
191|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
192|Clay Oven|3.0 star rating|78 E 3rd AveSan Mateo, CA 94401|(650) 342-9194|$$|"Indian,
                    Buffets"
193|Buri Tara Thai Cuisine|3.5 star rating|939 A Edgewater BlvdSan Mateo, CA 94404|(650) 525-5880|$$|Thai
194|Kat’s Vietnam House|3.5 star rating|35 Laurie Meadows DrSan Mateo, CA 94403|(650) 574-0107|$|Vietnamese
195|Fortune Star Chinese Restaurant|3.0 star rating|173 W 25th AveSan Mateo, CA 94403|(650) 341-3432|$|Chinese
196|Mr Pizza Man|3.0 star rating|201 E 4th AveSan Mateo, CA 94401|(650) 342-7088|$|"Pizza,
                    Italian"
